DATE,SYMBOL,SERIES,LAST_PRICE,LOWER_BAND,UPPER_BAND,BAND_PCT,BAND_LABEL,ASM_CODE,ASM_TYPE,ASM_STAGE,ASM_LABEL
2026-05-17,SHAKTIPUMP,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHALBY,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHALPAINTS,EQ,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,SHANTHALA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHANTI,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,SHANTIGEAR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHANTIGOLD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHARDACROP,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHARDAMOTR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHARDUL,EQ,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,SHAREINDIA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHARIABEES,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHBAJRG,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHEETAL,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHEMAROO,EQ,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,SHERA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHETHJI,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHILCTECH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHILPAMED,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHINDL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHIVALIK,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHIVAMILLS,EQ,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,SHIVASHRIT,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHIVATEX,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHK,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHKSIL,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHOPERSTOP,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHRADHA,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,SHREDIGCEM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHREEKARNI,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHREEOSFM,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHREEPUSHK,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHREERAMA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHREMINVIT,IV,0,0,0,20,20%,0,NONE,,
2026-05-17,SHREYANIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHRIAHIMSA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHRIKRISH,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHRINGARMS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHRIPISTON,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHRIRAMPPS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SHRITECH,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHUBHSHREE,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SHYAMMETL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SICAGEN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIGIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIGMA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIGNATURE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIGNPOST,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIKA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILGO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILINV,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILKY,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVER,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVER1,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVER360,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVERADD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVERAG,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVERBEES,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVERBETA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVERBND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVERCASE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SILVERIETF,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIMPLEXINF,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,SINCLAIR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SINDHUTRAD,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SINGERIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SINTERCOM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIRCA,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SIYSIL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SJLOGISTIC,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,SJS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,SJVN,EQ,0,0,0,20,20%,0,NONE,,
